"timepoints","Strain_Type","Value","Plate","Position","Name","Description","Species","y","Treatment","Highest_Value"
49.5441666666667,"X162",0.1257,"plate 1","D9","C2R21","Alteromonadales","Pseudoalteromonas carrageenovora",0.1193,"Glucosamine + C",0.1257
49.5441666666667,"X164",0.0723,"plate 1","D10","C3M06","Rhodobacterales",NA,0.0703,"Glucosamine + C",0.0723
49.5441666666667,"X166",0.1456,"plate 1","D11","C3M08","Alteromonadales","Pseudoalteromonas carrageenovora",0.1397,"Glucosamine + C",0.1456
49.5441666666667,"X168",0.1361,"plate 1","D12","C3M10","Alteromonadales","Pseudoalteromonas carrageenovora",0.1335,"Glucosamine + C",0.1361
49.5441666666667,"X194",0.0662,"plate 1","E1","C3M11","Flavobacteriales",NA,0.0622,"Glucosamine + C",0.0662
49.5441666666667,"X198",0.0891,"plate 1","E3","B3M02","Alteromonadales","Psychromonas sp003318165",0.0918,"Glucosamine + C",0.0918
49.5441666666667,"X202",0.0764,"plate 1","E5","C3R12","Vibrionales","Vibrio sp000272145",0.0824,"Glucosamine + C",0.0824
49.5441666666667,"X204",0.0751,"plate 1","E6","C3R14","Alteromonadales","Shewanella sp002873135",0.0688,"Glucosamine + C",0.0688
49.5441666666667,"X206",0.0724,"plate 1","E7","D2M19","Pseudomonadales",NA,0.08,"Glucosamine + C",0.08
49.5441666666667,"X208",0.0919,"plate 1","E8","D2R05","Alteromonadales",NA,0.0915,"Glucosamine + C",0.0919
49.5441666666667,"X210",0.1125,"plate 1","E9","C2R07_2","Rhodobacterales",NA,0.1072,"Glucosamine + C",0.1125
49.5441666666667,"X212",0.1039,"plate 1","E10","D3M06","Pseudomonadales","Acinetobacter guillouiae",0.081,"Glucosamine + C",0.1039
49.5441666666667,"X214",0.0949,"plate 1","E11","D3M17","Flavobacteriales","Arenibacter palladensis",0.0839,"Glucosamine + C",0.0949
49.5441666666667,"X216",0.0912,"plate 1","E12","AS88","Alteromonadales",NA,0.1241,"Glucosamine + C",0.1241
49.5441666666667,"X242",0.0787,"plate 1","F1","D3R04","Alteromonadales","Shewanella sp002873135",0.0781,"Glucosamine + C",0.0787
49.5441666666667,"X244",0.0746,"plate 1","F2","AS94","Flavobacteriales",NA,0.0645,"Glucosamine + C",0.0746
49.5441666666667,"X246",0.0641,"plate 1","F3","D3R19","Flavobacteriales",NA,0.0615,"Glucosamine + C",0.0641
49.5441666666667,"X250",0.6418,"plate 1","F5","E2M18","Vibrionales",NA,0.5912,"Glucosamine + C",0.6418
49.5441666666667,"X252",0.1122,"plate 1","F6","E2R12","Alteromonadales","Paraglaciecola chathamensis",0.1391,"Glucosamine + C",0.1391
49.5441666666667,"X254",0.1415,"plate 1","F7","12B01","Vibrionales","Vibrio splendidus",0.1494,"Glucosamine + C",0.1494
49.5441666666667,"X256",0.1193,"plate 1","F8","E3M02","Rhodobacterales",NA,0.1389,"Glucosamine + C",0.1389
49.5441666666667,"X258",0.1691,"plate 1","F9","YB2","Vibrionales","Vibrio coralliilyticus",0.1991,"Glucosamine + C",0.1991
49.5441666666667,"X260",0.0648,"plate 1","F10","E3M18","Flavobacteriales",NA,0.0669,"Glucosamine + C",0.0669
49.5441666666667,"X264",0.1097,"plate 1","F12","AS40","Flavobacteriales","Algibacter lectus",0.0899,"Glucosamine + C",0.1097
49.5441666666667,"X290",0.0796,"plate 1","G1","B2R14_2","Flavobacteriales",NA,0.0752,"Glucosamine + C",0.0796
49.5441666666667,"X292",0.227,"plate 1","G2","F1R01","Alteromonadales","Shewanella sp002873615",0.2538,"Glucosamine + C",0.2538
49.5441666666667,"X294",0.1387,"plate 1","G3","F1R06","Alteromonadales","Pseudoalteromonas carrageenovora",0.1351,"Glucosamine + C",0.1387
49.5441666666667,"X296",0.2391,"plate 1","G4","F2M12","Alteromonadales","Alteromonas stellipolaris",0.219,"Glucosamine + C",0.2391
49.5441666666667,"X298",0.2741,"plate 1","G5","F2R02","Vibrionales","Vibrio splendidus",0.2756,"Glucosamine + C",0.2756
49.5441666666667,"X300",0.2073,"plate 1","G6","F2R05","Vibrionales","Vibrio splendidus",0.2049,"Glucosamine + C",0.2073
49.5441666666667,"X302",0.066,"plate 1","G7","F2R13","Rhodobacterales","Shimia thalassica",0.0644,"Glucosamine + C",0.066
49.5441666666667,"X304",0.1385,"plate 1","G8","F3M04","Flavobacteriales","Zobellia uliginosa",0.1476,"Glucosamine + C",0.1476
49.5441666666667,"X306",0.2001,"plate 1","G9","F3M06","Alteromonadales","Alteromonas stellipolaris",0.1734,"Glucosamine + C",0.2001
49.5441666666667,"X308",0.0875,"plate 1","G10","F3M07","Alteromonadales",NA,0.0878,"Glucosamine + C",0.0878
49.5441666666667,"X310",0.1495,"plate 1","G11","F3M13","Alteromonadales","Alteromonas stellipolaris",0.153,"Glucosamine + C",0.153
49.5441666666667,"X312",0.9273,"plate 1","G12","G1M15","Vibrionales","Photobacterium sanguinicancri",1.4898,"Glucosamine + C",1.4898
49.5441666666667,"X338",0.1749,"plate 1","H1","1A01_rep","Vibrionales","Vibrio lentus/splendidus",0.2516,"Glucosamine + C",0.2516
49.5441666666667,"X340",0.0933,"plate 1","H2","G2R05","Flavobacteriales","Cellulophaga sp002813425",0.0898,"Glucosamine + C",0.0933
49.5441666666667,"X342",0.0957,"plate 1","H3","G2R07","Flavobacteriales","Cellulophaga sp002813425",0.095,"Glucosamine + C",0.0957
49.5441666666667,"X344",0.0635,"plate 1","H4","G2R13","Rhodobacterales","Shimia thalassica",0.0724,"Glucosamine + C",0.0724
49.5441666666667,"X346",0.2786,"plate 1","H5","G3M07","Alteromonadales",NA,0.2855,"Glucosamine + C",0.2855
49.5441666666667,"X348",0.5227,"plate 1","H6","G3M13","Alteromonadales","Alteromonas_B sp002729795",0.6066,"Glucosamine + C",0.6066
49.5441666666667,"X350",0.0668,"plate 1","H7","I1M15","Pseudomonadales","Neptunomonas phycophila",0.071,"Glucosamine + C",0.071
49.5441666666667,"X352",0.0938,"plate 1","H8","I1R14","Alteromonadales","Pseudoalteromonas carrageenovora",0.0936,"Glucosamine + C",0.0938
49.5441666666667,"X354",0.0751,"plate 1","H9","I2M14","Pseudomonadales",NA,0.0767,"Glucosamine + C",0.0767
49.5441666666667,"X356",0.0891,"plate 1","H10","I2M16","Pseudomonadales","Neptunomonas phycophila",0.1142,"Glucosamine + C",0.1142
49.5441666666667,"X360",0.073,"plate 1","H12","I2M19","Flavobacteriales",NA,0.0727,"Glucosamine + C",0.073
116.668333333333,"X2",1.0569,"plate 1","A1","1A01","Vibrionales","Vibrio lentus/splendidus",1.0732,"Glucosamine + C",1.0732
116.668333333333,"X4",0.5026,"plate 1","A2","3B05","Pseudomonadales","Neptunomonas phycophila",0.467,"Glucosamine + C",0.5026
116.668333333333,"X6",0.8365,"plate 1","A3","3C02","Vibrionales","Vibrio splendidus",0.8075,"Glucosamine + C",0.8365
116.668333333333,"X8",0.5279,"plate 1","A4","3D04","Alteromonadales","Alteromonas stellipolaris",0.5294,"Glucosamine + C",0.5294
116.668333333333,"X10",0.4488,"plate 1","A5","4B03","Alteromonadales","Alteromonas sp000597705",0.4442,"Glucosamine + C",0.4488
116.668333333333,"X12",0.857,"plate 1","A6","4B04","Vibrionales","Vibrio splendidus",0.8629,"Glucosamine + C",0.8629
116.668333333333,"X14",0.4584,"plate 1","A7","4D01","Alteromonadales","Pseudoalteromonas marina",0.65,"Glucosamine + C",0.65
116.668333333333,"X16",0.0936,"plate 1","A8","4G03","Flavobacteriales","Tenacibaculum discolor",0.0826,"Glucosamine + C",0.0936
116.668333333333,"X18",0.3362,"plate 1","A9","4G09","Alteromonadales","Pseudoalteromonas marina",0.3767,"Glucosamine + C",0.3767
116.668333333333,"X20",0.3221,"plate 1","A10","5F06","Flavobacteriales","Maribacter dokdonensis",0.3093,"Glucosamine + C",0.3221
116.668333333333,"X22",0.2321,"plate 1","A11","5G01","Pseudomonadales","Neptunomonas phycophila",0.2647,"Glucosamine + C",0.2647
116.668333333333,"X24",0.1752,"plate 1","A12","6B07","Flavobacteriales","Maribacter dokdonensis",0.2531,"Glucosamine + C",0.2531
116.668333333333,"X50",0.2163,"plate 1","B1","6C01","Alteromonadales","Alteromonas stellipolaris",0.2071,"Glucosamine + C",0.2163
116.668333333333,"X52",0.6971,"plate 1","B2","6D03","Vibrionales","Vibrio penaeicida",0.6745,"Glucosamine + C",0.6971
116.668333333333,"X54",0.9123,"plate 1","B3","6E01","Vibrionales","Vibrio penaeicida",0.7667,"Glucosamine + C",0.9123
116.668333333333,"X56",0.7589,"plate 1","B4","6E02","Vibrionales","Vibrio splendidus",0.8005,"Glucosamine + C",0.8005
116.668333333333,"X58",0.92,"plate 1","B5","6E03","Vibrionales","Vibrio splendidus",0.9382,"Glucosamine + C",0.9382
116.668333333333,"X60",0.2652,"plate 1","B6","B3R02_2","Alteromonadales",NA,0.2505,"Glucosamine + C",0.2652
116.668333333333,"X62",0.263,"plate 1","B7","A1M10","Flavobacteriales","Cellulophaga lytica",0.2487,"Glucosamine + C",0.263
116.668333333333,"X64",0.2232,"plate 1","B8","A1R05","Alteromonadales","Paraglaciecola chathamensis",0.2388,"Glucosamine + C",0.2388
116.668333333333,"X66",0.3692,"plate 1","B9","A1R06","Alteromonadales","Pseudoalteromonas carrageenovora",0.3394,"Glucosamine + C",0.3692
116.668333333333,"X68",0.2484,"plate 1","B10","A1R11","Alteromonadales","Pseudoalteromonas carrageenovora",0.2661,"Glucosamine + C",0.2661
116.668333333333,"X70",0.1284,"plate 1","B11","A2M07","Flavobacteriales",NA,0.1362,"Glucosamine + C",0.1362
116.668333333333,"X72",0.4566,"plate 1","B12","A2R01","Pseudomonadales","Cobetia amphilecti",0.4691,"Glucosamine + C",0.4691
116.668333333333,"X98",0.2966,"plate 1","C1","A2R16","Pseudomonadales","Neptunomonas phycophila",0.2011,"Glucosamine + C",0.2966
116.668333333333,"X100",0.1267,"plate 1","C2","A2R20","Pseudomonadales",NA,0.1251,"Glucosamine + C",0.1267
116.668333333333,"X102",0.3009,"plate 1","C3","A3M03","Flavobacteriales","Zobellia galactanivorans",0.3111,"Glucosamine + C",0.3111
116.668333333333,"X104",0.9085,"plate 1","C4","A3R06","Rhodobacterales","Epibacterium mobile",0.9248,"Glucosamine + C",0.9248
116.668333333333,"X106",0.3631,"plate 1","C5","B1M15","Flavobacteriales","Cobetia amphilecti",0.3481,"Glucosamine + C",0.3631
116.668333333333,"X108",0.2825,"plate 1","C6","B1R08","Pseudomonadales",NA,0.2008,"Glucosamine + C",0.2825
116.668333333333,"X110",0.4201,"plate 1","C7","B1R10","Alteromonadales","Cobetia marina",0.4465,"Glucosamine + C",0.4465
116.668333333333,"X112",0.4434,"plate 1","C8","B1R15","Alteromonadales","Shewanella sp002873615",0.4414,"Glucosamine + C",0.4434
116.668333333333,"X114",0.5246,"plate 1","C9","B2M13","Pseudomonadales","Shewanella sp002873615",0.4328,"Glucosamine + C",0.5246
116.668333333333,"X116",0.2346,"plate 1","C10","A3R12","Alteromonadales","Paraglaciecola chathamensis",0.2494,"Glucosamine + C",0.2494
116.668333333333,"X118",0.1121,"plate 1","C11","B2R09","Rhodobacterales","Roseovarius nubinhibens",0.1105,"Glucosamine + C",0.1121
116.668333333333,"X120",0.4126,"plate 1","C12","B3M03","Rhodobacterales",NA,0.4173,"Glucosamine + C",0.4173
116.668333333333,"X146",0.0972,"plate 1","D1","B3M08","Rhodobacterales",NA,0.1021,"Glucosamine + C",0.1021
116.668333333333,"X148",0.9423,"plate 1","D2","G2R10","Vibrionales","Vibrio splendidus",0.9473,"Glucosamine + C",0.9473
116.668333333333,"X150",0.2153,"plate 1","D3","B3R02","Alteromonadales",NA,0.6187,"Glucosamine + C",0.6187
116.668333333333,"X152",1.2743,"plate 1","D4","C2M01","Vibrionales",NA,1.3044,"Glucosamine + C",1.3044
116.668333333333,"X154",0.6275,"plate 1","D5","C2M04","Alteromonadales","Agarivorans sp005405585",0.7019,"Glucosamine + C",0.7019
116.668333333333,"X156",0.3139,"plate 1","D6","C2R09","Rhodobacterales",NA,0.5083,"Glucosamine + C",0.3139
116.668333333333,"X158",0.5922,"plate 1","D7","C2R11","Alteromonadales","Shewanella sp002873135",0.5715,"Glucosamine + C",0.5922
116.668333333333,"X160",0.4825,"plate 1","D8","C2R13","Pseudomonadales","Cobetia amphilecti",0.4987,"Glucosamine + C",0.4987
116.668333333333,"X162",0.2032,"plate 1","D9","C2R21","Alteromonadales","Pseudoalteromonas carrageenovora",0.1916,"Glucosamine + C",0.2032
116.668333333333,"X164",0.0917,"plate 1","D10","C3M06","Rhodobacterales",NA,0.0928,"Glucosamine + C",0.0928
116.668333333333,"X166",0.296,"plate 1","D11","C3M08","Alteromonadales","Pseudoalteromonas carrageenovora",0.2797,"Glucosamine + C",0.296
116.668333333333,"X168",0.3133,"plate 1","D12","C3M10","Alteromonadales","Pseudoalteromonas carrageenovora",0.2614,"Glucosamine + C",0.3133
116.668333333333,"X194",0.0678,"plate 1","E1","C3M11","Flavobacteriales",NA,0.168,"Glucosamine + C",0.168
116.668333333333,"X198",0.8703,"plate 1","E3","B3M02","Alteromonadales","Psychromonas sp003318165",0.8129,"Glucosamine + C",0.8703
116.668333333333,"X202",1.1603,"plate 1","E5","C3R12","Vibrionales","Vibrio sp000272145",1.1646,"Glucosamine + C",1.1646
116.668333333333,"X204",0.2244,"plate 1","E6","C3R14","Alteromonadales","Shewanella sp002873135",0.2172,"Glucosamine + C",0.2172
116.668333333333,"X206",0.1135,"plate 1","E7","D2M19","Pseudomonadales",NA,0.194,"Glucosamine + C",0.194
116.668333333333,"X208",0.2777,"plate 1","E8","D2R05","Alteromonadales",NA,0.3178,"Glucosamine + C",0.3178
116.668333333333,"X210",0.3638,"plate 1","E9","C2R07_2","Rhodobacterales",NA,0.4274,"Glucosamine + C",0.4274
116.668333333333,"X212",0.127,"plate 1","E10","D3M06","Pseudomonadales","Acinetobacter guillouiae",0.1056,"Glucosamine + C",0.127
116.668333333333,"X214",0.2628,"plate 1","E11","D3M17","Flavobacteriales","Arenibacter palladensis",0.2207,"Glucosamine + C",0.2628
116.668333333333,"X216",0.2321,"plate 1","E12","AS88","Alteromonadales",NA,0.2542,"Glucosamine + C",0.2542
116.668333333333,"X242",0.4279,"plate 1","F1","D3R04","Alteromonadales","Shewanella sp002873135",0.4263,"Glucosamine + C",0.4279
116.668333333333,"X244",0.1281,"plate 1","F2","AS94","Flavobacteriales",NA,0.1348,"Glucosamine + C",0.1348
116.668333333333,"X246",0.0961,"plate 1","F3","D3R19","Flavobacteriales",NA,0.0899,"Glucosamine + C",0.0961
116.668333333333,"X250",0.7782,"plate 1","F5","E2M18","Vibrionales",NA,0.7601,"Glucosamine + C",0.7782
116.668333333333,"X252",0.3563,"plate 1","F6","E2R12","Alteromonadales","Paraglaciecola chathamensis",0.3341,"Glucosamine + C",0.3563
116.668333333333,"X254",0.8647,"plate 1","F7","12B01","Vibrionales","Vibrio splendidus",0.8715,"Glucosamine + C",0.8715
116.668333333333,"X256",0.1768,"plate 1","F8","E3M02","Rhodobacterales",NA,0.2337,"Glucosamine + C",0.2337
116.668333333333,"X258",0.7623,"plate 1","F9","YB2","Vibrionales","Vibrio coralliilyticus",0.6427,"Glucosamine + C",0.7623
116.668333333333,"X260",0.1354,"plate 1","F10","E3M18","Flavobacteriales",NA,0.1661,"Glucosamine + C",0.1661
116.668333333333,"X264",0.2485,"plate 1","F12","AS40","Flavobacteriales","Algibacter lectus",0.2257,"Glucosamine + C",0.2485
116.668333333333,"X290",0.3123,"plate 1","G1","B2R14_2","Flavobacteriales",NA,0.3929,"Glucosamine + C",0.3929
116.668333333333,"X292",0.4466,"plate 1","G2","F1R01","Alteromonadales","Shewanella sp002873615",0.413,"Glucosamine + C",0.4466
116.668333333333,"X294",0.2892,"plate 1","G3","F1R06","Alteromonadales","Pseudoalteromonas carrageenovora",0.2919,"Glucosamine + C",0.2919
116.668333333333,"X296",0.5499,"plate 1","G4","F2M12","Alteromonadales","Alteromonas stellipolaris",0.4603,"Glucosamine + C",0.5499
116.668333333333,"X298",0.624,"plate 1","G5","F2R02","Vibrionales","Vibrio splendidus",0.6999,"Glucosamine + C",0.6999
116.668333333333,"X300",0.8917,"plate 1","G6","F2R05","Vibrionales","Vibrio splendidus",0.8752,"Glucosamine + C",0.8917
116.668333333333,"X302",0.1361,"plate 1","G7","F2R13","Rhodobacterales","Shimia thalassica",0.1263,"Glucosamine + C",0.1361
116.668333333333,"X304",0.3303,"plate 1","G8","F3M04","Flavobacteriales","Zobellia uliginosa",0.3186,"Glucosamine + C",0.3303
116.668333333333,"X306",0.424,"plate 1","G9","F3M06","Alteromonadales","Alteromonas stellipolaris",0.3939,"Glucosamine + C",0.424
116.668333333333,"X308",0.6907,"plate 1","G10","F3M07","Alteromonadales",NA,0.6828,"Glucosamine + C",0.6907
116.668333333333,"X310",0.5161,"plate 1","G11","F3M13","Alteromonadales","Alteromonas stellipolaris",0.481,"Glucosamine + C",0.5161
116.668333333333,"X312",1.5314,"plate 1","G12","G1M15","Vibrionales","Photobacterium sanguinicancri",1.5442,"Glucosamine + C",1.5442
116.668333333333,"X338",0.9728,"plate 1","H1","1A01_rep","Vibrionales","Vibrio lentus/splendidus",1.0455,"Glucosamine + C",1.0455
116.668333333333,"X340",0.2117,"plate 1","H2","G2R05","Flavobacteriales","Cellulophaga sp002813425",0.2213,"Glucosamine + C",0.2213
116.668333333333,"X342",0.1879,"plate 1","H3","G2R07","Flavobacteriales","Cellulophaga sp002813425",0.2244,"Glucosamine + C",0.2244
116.668333333333,"X344",0.1759,"plate 1","H4","G2R13","Rhodobacterales","Shimia thalassica",0.3305,"Glucosamine + C",0.3305
116.668333333333,"X346",0.6927,"plate 1","H5","G3M07","Alteromonadales",NA,0.5126,"Glucosamine + C",0.6927
116.668333333333,"X348",0.8815,"plate 1","H6","G3M13","Alteromonadales","Alteromonas_B sp002729795",0.8739,"Glucosamine + C",0.8815
116.668333333333,"X350",0.2042,"plate 1","H7","I1M15","Pseudomonadales","Neptunomonas phycophila",0.2523,"Glucosamine + C",0.2523
116.668333333333,"X352",0.2714,"plate 1","H8","I1R14","Alteromonadales","Pseudoalteromonas carrageenovora",0.3513,"Glucosamine + C",0.3513
116.668333333333,"X354",0.1211,"plate 1","H9","I2M14","Pseudomonadales",NA,0.1381,"Glucosamine + C",0.1381
116.668333333333,"X356",0.2567,"plate 1","H10","I2M16","Pseudomonadales","Neptunomonas phycophila",0.2675,"Glucosamine + C",0.2675
116.668333333333,"X360",0.1682,"plate 1","H12","I2M19","Flavobacteriales",NA,0.1591,"Glucosamine + C",0.1682
0,"X1",0.0587,"plate 1","A1","1A01","Vibrionales","Vibrio lentus/splendidus",0.0625,"no N control + C",0.0625
0,"X3",0.0707,"plate 1","A2","3B05","Pseudomonadales","Neptunomonas phycophila",0.0655,"no N control + C",0.0707
0,"X5",0.0622,"plate 1","A3","3C02","Vibrionales","Vibrio splendidus",0.0619,"no N control + C",0.0622
0,"X7",0.0646,"plate 1","A4","3D04","Alteromonadales","Alteromonas stellipolaris",0.0634,"no N control + C",0.0646
0,"X9",0.0604,"plate 1","A5","4B03","Alteromonadales","Alteromonas sp000597705",0.0597,"no N control + C",0.0604
0,"X11",0.0623,"plate 1","A6","4B04","Vibrionales","Vibrio splendidus",0.0608,"no N control + C",0.0623
0,"X13",0.0692,"plate 1","A7","4D01","Alteromonadales","Pseudoalteromonas marina",0.0579,"no N control + C",0.0692
0,"X15",0.0617,"plate 1","A8","4G03","Flavobacteriales","Tenacibaculum discolor",0.0581,"no N control + C",0.0617
0,"X17",0.0636,"plate 1","A9","4G09","Alteromonadales","Pseudoalteromonas marina",0.0592,"no N control + C",0.0636
0,"X19",0.0748,"plate 1","A10","5F06","Flavobacteriales","Maribacter dokdonensis",0.0664,"no N control + C",0.0748
0,"X21",0.0734,"plate 1","A11","5G01","Pseudomonadales","Neptunomonas phycophila",0.0654,"no N control + C",0.0734
0,"X23",0.0673,"plate 1","A12","6B07","Flavobacteriales","Maribacter dokdonensis",0.0699,"no N control + C",0.0699
0,"X49",0.0594,"plate 1","B1","6C01","Alteromonadales","Alteromonas stellipolaris",0.0597,"no N control + C",0.0597
0,"X51",0.0703,"plate 1","B2","6D03","Vibrionales","Vibrio penaeicida",0.0607,"no N control + C",0.0703
0,"X53",0.0882,"plate 1","B3","6E01","Vibrionales","Vibrio penaeicida",0.0618,"no N control + C",0.0882
0,"X55",0.0629,"plate 1","B4","6E02","Vibrionales","Vibrio splendidus",0.0627,"no N control + C",0.0629
0,"X57",0.0633,"plate 1","B5","6E03","Vibrionales","Vibrio splendidus",0.0631,"no N control + C",0.0633
0,"X59",0.0621,"plate 1","B6","B3R02_2","Alteromonadales",NA,0.0633,"no N control + C",0.0633
0,"X61",0.0602,"plate 1","B7","A1M10","Flavobacteriales","Cellulophaga lytica",0.0614,"no N control + C",0.0614
0,"X63",0.0665,"plate 1","B8","A1R05","Alteromonadales","Paraglaciecola chathamensis",0.0661,"no N control + C",0.0665
0,"X65",0.0591,"plate 1","B9","A1R06","Alteromonadales","Pseudoalteromonas carrageenovora",0.0599,"no N control + C",0.0599
0,"X67",0.0599,"plate 1","B10","A1R11","Alteromonadales","Pseudoalteromonas carrageenovora",0.059,"no N control + C",0.0599
0,"X69",0.0649,"plate 1","B11","A2M07","Flavobacteriales",NA,0.0646,"no N control + C",0.0649
0,"X71",0.066,"plate 1","B12","A2R01","Pseudomonadales","Cobetia amphilecti",0.067,"no N control + C",0.067
0,"X97",0.0627,"plate 1","C1","A2R16","Pseudomonadales","Neptunomonas phycophila",0.0619,"no N control + C",0.0627
0,"X99",0.0624,"plate 1","C2","A2R20","Pseudomonadales",NA,0.0624,"no N control + C",0.0624
0,"X101",0.0608,"plate 1","C3","A3M03","Flavobacteriales","Zobellia galactanivorans",0.0622,"no N control + C",0.0622
0,"X103",0.0648,"plate 1","C4","A3R06","Rhodobacterales","Epibacterium mobile",0.0657,"no N control + C",0.0657
0,"X105",0.0644,"plate 1","C5","B1M15","Flavobacteriales","Cobetia amphilecti",0.0636,"no N control + C",0.0644
0,"X107",0.0654,"plate 1","C6","B1R08","Pseudomonadales",NA,0.0655,"no N control + C",0.0655
0,"X109",0.0607,"plate 1","C7","B1R10","Alteromonadales","Cobetia marina",0.0606,"no N control + C",0.0607
0,"X111",0.0611,"plate 1","C8","B1R15","Alteromonadales","Shewanella sp002873615",0.061,"no N control + C",0.0611
0,"X113",0.0641,"plate 1","C9","B2M13","Pseudomonadales","Shewanella sp002873615",0.066,"no N control + C",0.066
0,"X115",0.0675,"plate 1","C10","A3R12","Alteromonadales","Paraglaciecola chathamensis",0.0643,"no N control + C",0.0675
0,"X117",0.0627,"plate 1","C11","B2R09","Rhodobacterales","Roseovarius nubinhibens",0.0649,"no N control + C",0.0649
0,"X119",0.0606,"plate 1","C12","B3M03","Rhodobacterales",NA,0.0669,"no N control + C",0.0669
0,"X145",0.0607,"plate 1","D1","B3M08","Rhodobacterales",NA,0.0648,"no N control + C",0.0648
0,"X147",0.0635,"plate 1","D2","G2R10","Vibrionales","Vibrio splendidus",0.0606,"no N control + C",0.0635
0,"X149",0.0635,"plate 1","D3","B3R02","Alteromonadales",NA,0.0645,"no N control + C",0.0645
0,"X151",0.0599,"plate 1","D4","C2M01","Vibrionales",NA,0.0607,"no N control + C",0.0607
0,"X153",0.0642,"plate 1","D5","C2M04","Alteromonadales","Agarivorans sp005405585",0.0654,"no N control + C",0.0654
0,"X155",0.0759,"plate 1","D6","C2R09","Rhodobacterales",NA,0.0691,"no N control + C",0.0759
0,"X157",0.0653,"plate 1","D7","C2R11","Alteromonadales","Shewanella sp002873135",0.0967,"no N control + C",0.0653
0,"X159",0.0627,"plate 1","D8","C2R13","Pseudomonadales","Cobetia amphilecti",0.0668,"no N control + C",0.0668
0,"X161",0.0599,"plate 1","D9","C2R21","Alteromonadales","Pseudoalteromonas carrageenovora",0.0617,"no N control + C",0.0617
0,"X163",0.0645,"plate 1","D10","C3M06","Rhodobacterales",NA,0.0739,"no N control + C",0.0739
0,"X165",0.0632,"plate 1","D11","C3M08","Alteromonadales","Pseudoalteromonas carrageenovora",0.062,"no N control + C",0.0632
0,"X167",0.0609,"plate 1","D12","C3M10","Alteromonadales","Pseudoalteromonas carrageenovora",0.0578,"no N control + C",0.0609
0,"X193",0.0576,"plate 1","E1","C3M11","Flavobacteriales",NA,0.0607,"no N control + C",0.0607
0,"X197",0.0679,"plate 1","E3","B3M02","Alteromonadales","Psychromonas sp003318165",0.0632,"no N control + C",0.0679
0,"X201",0.0656,"plate 1","E5","C3R12","Vibrionales","Vibrio sp000272145",0.0631,"no N control + C",0.0656
0,"X203",0.0615,"plate 1","E6","C3R14","Alteromonadales","Shewanella sp002873135",0.0608,"no N control + C",0.0615
0,"X205",0.07,"plate 1","E7","D2M19","Pseudomonadales",NA,0.0644,"no N control + C",0.0644
0,"X207",0.0608,"plate 1","E8","D2R05","Alteromonadales",NA,0.0601,"no N control + C",0.0608
0,"X209",0.0778,"plate 1","E9","C2R07_2","Rhodobacterales",NA,0.0742,"no N control + C",0.0778
0,"X211",0.0634,"plate 1","E10","D3M06","Pseudomonadales","Acinetobacter guillouiae",0.0649,"no N control + C",0.0649
0,"X213",0.0612,"plate 1","E11","D3M17","Flavobacteriales","Arenibacter palladensis",0.0619,"no N control + C",0.0619
0,"X215",0.0657,"plate 1","E12","AS88","Alteromonadales",NA,0.0573,"no N control + C",0.0657
0,"X241",0.0621,"plate 1","F1","D3R04","Alteromonadales","Shewanella sp002873135",0.0618,"no N control + C",0.0621
0,"X243",0.0631,"plate 1","F2","AS94","Flavobacteriales",NA,0.0604,"no N control + C",0.0631
0,"X245",0.0631,"plate 1","F3","D3R19","Flavobacteriales",NA,0.0602,"no N control + C",0.0631
0,"X249",0.0652,"plate 1","F5","E2M18","Vibrionales",NA,0.0592,"no N control + C",0.0652
0,"X251",0.063,"plate 1","F6","E2R12","Alteromonadales","Paraglaciecola chathamensis",0.0621,"no N control + C",0.063
0,"X253",0.0593,"plate 1","F7","12B01","Vibrionales","Vibrio splendidus",0.0619,"no N control + C",0.0619
0,"X255",0.0707,"plate 1","F8","E3M02","Rhodobacterales",NA,0.0716,"no N control + C",0.0716
0,"X257",0.064,"plate 1","F9","YB2","Vibrionales","Vibrio coralliilyticus",0.0637,"no N control + C",0.064
0,"X259",0.0662,"plate 1","F10","E3M18","Flavobacteriales",NA,0.0673,"no N control + C",0.0673
0,"X263",0.0621,"plate 1","F12","AS40","Flavobacteriales","Algibacter lectus",0.0627,"no N control + C",0.0627
0,"X289",0.0619,"plate 1","G1","B2R14_2","Flavobacteriales",NA,0.062,"no N control + C",0.062
0,"X291",0.0617,"plate 1","G2","F1R01","Alteromonadales","Shewanella sp002873615",0.0604,"no N control + C",0.0617
0,"X293",0.0623,"plate 1","G3","F1R06","Alteromonadales","Pseudoalteromonas carrageenovora",0.0608,"no N control + C",0.0623
0,"X295",0.061,"plate 1","G4","F2M12","Alteromonadales","Alteromonas stellipolaris",0.0588,"no N control + C",0.061
0,"X297",0.0585,"plate 1","G5","F2R02","Vibrionales","Vibrio splendidus",0.0608,"no N control + C",0.0608
0,"X299",0.0602,"plate 1","G6","F2R05","Vibrionales","Vibrio splendidus",0.0626,"no N control + C",0.0626
0,"X301",0.0692,"plate 1","G7","F2R13","Rhodobacterales","Shimia thalassica",0.0633,"no N control + C",0.0692
0,"X303",0.0647,"plate 1","G8","F3M04","Flavobacteriales","Zobellia uliginosa",0.0639,"no N control + C",0.0647
0,"X305",0.0632,"plate 1","G9","F3M06","Alteromonadales","Alteromonas stellipolaris",0.0657,"no N control + C",0.0657
